"","worst.para","worst.s.temperature3.","worst.s.snow_diff.","worst.s.solar_radiation.","worst.s.int_date.","worst.s.avalanche_report.","worst.s.int_day.","observed.para","observed.s.temperature3.","observed.s.snow_diff.","observed.s.solar_radiation.","observed.s.int_date.","observed.s.avalanche_report.","observed.s.int_day.","estimate.para","estimate.s.temperature3.","estimate.s.snow_diff.","estimate.s.solar_radiation.","estimate.s.int_date.","estimate.s.avalanche_report.","estimate.s.int_day."
"para",1,2.16871209193901e-27,1.89671624105978e-28,2.6918964438813e-29,2.61894876451554e-28,1.64316918399314e-28,0.00341231870339078,1,1.6787280701627e-30,2.68147103393672e-29,2.47306765828013e-31,1.68003404460297e-32,1.68920378027423e-30,1.17582748017369e-32,1,4.37669880435042e-31,1.46852556946297e-31,4.83504493577647e-32,8.0375075901642e-32,8.70007548548225e-31,1.71633128901733e-32
"s(temperature3)",1.99817262346807e-27,1,0.389061538252516,0.673813095684965,0.742041234132827,0.246517032261023,0.274085830180447,1.99817262346807e-27,1,0.120721096837746,0.430743593978716,0.573840219801528,0.172725478761691,0.128541199109319,1.99817262346807e-27,1,0.232439033334301,0.336401994350992,0.333391014787365,0.159351154482409,0.130027258058987
"s(snow_diff)",8.84546482207124e-28,0.389061538252512,1,0.349893891647915,0.376984010951966,0.571075771240912,0.208095383041706,8.84546482207124e-28,0.204817819608055,1,0.133926390911637,0.112143167548533,0.251421920862027,0.0332484681318436,8.84546482207124e-28,0.144699320977774,1,0.125970518981056,0.1147909703296,0.226972262896147,0.08045854089123
"s(solar_radiation)",1.37911533810962e-29,0.673813095684964,0.349893891647954,1,0.748443760664589,0.205452189934654,0.164771954753096,1.37911533810962e-29,0.115668258909569,0.0616132337352658,1,0.591254540712802,0.201145294508552,0.0565831735302601,1.37911533810962e-29,0.201391445836843,0.174278861623824,1,0.281753322725241,0.187334872362451,0.0677816945037729
"s(int_date)",3.65818410219751e-28,0.742041234132827,0.376984010951918,0.748443760664589,1,0.522453057769315,0.140784241497135,3.65818410219751e-28,0.110320170789719,0.131330903505039,0.600455102127406,1,0.434233313036309,0.00741771595412825,3.65818410219751e-28,0.304736787062994,0.198526717149868,0.352680406483293,1,0.405511804674546,0.0164133598395218
"s(avalanche_report)",1.61996847578093e-28,0.246517032261023,0.571075771240924,0.205452189934654,0.522453057769315,1,0.350005759670949,1.61996847578093e-28,0.0219064677638598,0.0700590896895702,0.106428654957365,0.113519167978111,1,0.0124844063535438,1.61996847578093e-28,0.0654837973914025,0.105615515397385,0.124252070443514,0.10077336648047,1,0.0252328791867655
"s(int_day)",0.000895297869494105,0.403894117337398,0.205302347717559,0.134063202739158,0.115314650688797,0.0823342029616271,1,0.000895297869494105,0.0465464989331692,0.0377901158492753,0.023621463873659,0.0275332923073773,0.013895219713457,1,0.000895297869494105,0.0822333832607823,0.0911515152801829,0.0372475884087487,0.0237149378706476,0.0247270203076301,1
