"","para","s(temperature)","s(snow_diff)","s(solar_radiation)","s(int_date)","s(avalanche_report)","s(int_day)"
"worst",0.807065548812549,0.88091917440113,0.741061328311781,0.875090041867005,0.874239932683742,0.812461283925337,0.913438064471067
"observed",0.807065548812548,0.423105164569878,0.437870375213614,0.75102922819011,0.77740416408413,0.723956425604223,0.436308018671313
"estimate",0.807065548812548,0.624490479341876,0.592887504215444,0.594233503221792,0.65186073441474,0.722732953715671,0.512929124618355
