Readout Date         	2020-03-20 14:29:23

Serial Number        	CP000163
Software Version     	0x05
Hardware Version     	0x02

Battery Status       	11.080 V  83 %

Features Setting:
  Beacon Always On   	ON
  Radar Sensor       	OFF
  Infrared Sensor    	ON
  Key Sensor         	ON
  Combine Sensors    	OFF
  Out 2 Pulsed       	ON
  Events Readout     	ON

Out 2 Pulse Width    	1000 ms
Sensor Blink Count   	3
Sensor Pause         	1000 ms
Key Blink Count      	3
Key Pause            	3000 ms

Beacons Count       	04647
Radar Count         	00000
Infrared Count      	10266
Sensor Count        	00000
Key Count           	00000
Cover On/Off Count  	00003
Dummy Count         	00060
Others Count        	00000
Total Count         	14976

Events List:

Cover ON   	2019-12-06	10:13
Infrared   	2019-12-06	10:13
Beacon     	2019-12-06	10:14
Beacon     	2019-12-06	10:14
Beacon     	2019-12-06	10:14
Beacon     	2019-12-06	10:15
Beacon     	2019-12-06	10:15
Beacon     	2019-12-06	10:15
Beacon     	2019-12-06	10:15
Beacon     	2019-12-06	10:15
Beacon     	2019-12-06	10:15
Beacon     	2019-12-06	10:16
Beacon     	2019-12-06	10:16
Beacon     	2019-12-06	10:16
Beacon     	2019-12-06	10:16
Beacon     	2019-12-06	10:16
Beacon     	2019-12-06	10:17
Beacon     	2019-12-06	10:22
Cover ON   	2019-12-06	10:25
Infrared   	2019-12-06	15:52
Infrared   	2019-12-06	15:52
Infrared   	2019-12-06	15:52
Infrared   	2019-12-06	15:53
Infrared   	2019-12-06	15:53
Infrared   	2019-12-06	15:53
Infrared   	2019-12-06	15:55
Infrared   	2019-12-06	15:55
Infrared   	2019-12-06	15:55
Infrared   	2019-12-06	15:57
Infrared   	2019-12-06	15:57
Infrared   	2019-12-06	16:11
Infrared   	2019-12-06	16:11
Infrared   	2019-12-06	16:11
Infrared   	2019-12-07	01:53
Infrared   	2019-12-07	02:30
Infrared   	2019-12-07	03:55
Infrared   	2019-12-07	05:05
Infrared   	2019-12-07	05:27
Infrared   	2019-12-07	10:59
Infrared   	2019-12-07	11:04
Infrared   	2019-12-07	11:05
Infrared   	2019-12-07	11:36
Infrared   	2019-12-07	11:49
Infrared   	2019-12-07	11:50
Infrared   	2019-12-07	11:55
Infrared   	2019-12-07	11:56
Infrared   	2019-12-07	11:57
Infrared   	2019-12-07	11:59
Infrared   	2019-12-07	11:59
Infrared   	2019-12-07	12:00
Infrared   	2019-12-07	12:01
Infrared   	2019-12-07	12:01
Infrared   	2019-12-07	12:02
Infrared   	2019-12-07	12:02
Infrared   	2019-12-07	12:03
Infrared   	2019-12-07	12:03
Infrared   	2019-12-07	12:03
Infrared   	2019-12-07	12:04
Infrared   	2019-12-07	12:04
Infrared   	2019-12-07	12:29
Infrared   	2019-12-07	12:29
Infrared   	2019-12-07	12:45
Infrared   	2019-12-07	12:46
Infrared   	2019-12-07	12:47
Infrared   	2019-12-07	12:53
Infrared   	2019-12-07	12:54
Infrared   	2019-12-07	12:55
Infrared   	2019-12-07	13:19
Infrared   	2019-12-07	13:20
Infrared   	2019-12-07	13:20
Infrared   	2019-12-07	13:20
Infrared   	2019-12-07	13:21
Infrared   	2019-12-07	13:21
Infrared   	2019-12-07	13:22
Infrared   	2019-12-07	13:22
Infrared   	2019-12-07	13:22
Infrared   	2019-12-07	13:22
Infrared   	2019-12-07	13:22
Infrared   	2019-12-07	13:26
Infrared   	2019-12-07	13:27
Infrared   	2019-12-07	13:27
Infrared   	2019-12-07	13:28
Infrared   	2019-12-07	13:28
Infrared   	2019-12-07	13:28
Infrared   	2019-12-07	13:34
Infrared   	2019-12-07	13:34
Infrared   	2019-12-07	13:55
Infrared   	2019-12-07	13:55
Infrared   	2019-12-07	14:13
Infrared   	2019-12-07	14:21
Infrared   	2019-12-07	14:36
